Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,103.360001,106.540001,101.360001,105.760002,102.620178,106855200
2018-06-01,106.220001,112.620003,106.110001,109.300003,106.055084,116000900
2018-07-01,108.510002,113.570000,108.220001,111.269997,108.250191,98611000
2018-08-01,111.379997,117.239998,110.029999,116.949997,113.776039,102618000
2018-09-01,116.830002,118.080002,114.800003,117.220001,114.038712,92340200
2018-10-01,117.910004,118.129997,100.989998,105.379997,102.826447,259369600
2018-11-01,105.800003,112.150002,100.309998,107.989998,105.373215,138152700
2018-12-01,110.209999,110.599998,91.730003,99.010002,96.610809,184699100
2019-01-01,97.320000,109.150002,96.790001,108.779999,106.560089,114456600
2019-02-01,107.849998,111.910004,106.360001,110.209999,107.960899,82301900
2019-03-01,111.110001,114.059998,107.660004,113.849998,111.526611,126494800
2019-04-01,114.769997,120.900002,114.410004,120.070000,118.021042,72082500
2019-05-01,120.269997,120.330002,110.620003,110.940002,109.046852,108676500
2019-06-01,110.669998,120.790001,109.430000,119.199997,117.165886,81414000
2019-07-01,120.709999,124.599998,119.610001,120.720001,119.069077,62706200
2019-08-01,120.949997,122.139999,113.629997,119.580002,117.944664,99580700
2019-09-01,119.010002,124.389999,118.580002,120.699997,119.049339,65899600
2019-10-01,120.980003,123.150002,115.959999,120.849998,119.592712,70052000
2019-11-01,121.470001,123.389999,119.440002,122.449997,121.176056,57718600
2019-12-01,122.540001,126.730003,119.550003,125.419998,124.115166,61595700
